iso_code,date,vaccine_id,total_vaccinations
CHL,21/03/2021,4,7804262
CHL,22/03/2021,2,727703
CHL,22/03/2021,4,8036924
CHL,23/03/2021,2,787625
CHL,23/03/2021,4,8217867
CHL,24/03/2021,2,840528
CHL,24/03/2021,4,8384056
CHL,25/03/2021,2,895126
CHL,25/03/2021,4,8542147
CHL,26/03/2021,2,933564
CHL,26/03/2021,4,8721393
CHL,27/03/2021,2,935599
CHL,27/03/2021,4,8735048
CHL,28/03/2021,2,935599
CHL,28/03/2021,4,8736440
CHL,29/03/2021,2,957646
CHL,29/03/2021,4,8981153
CHL,30/03/2021,2,1015139
CHL,30/03/2021,4,9202317
CHL,31/03/2021,2,1061315
CHL,31/03/2021,4,9436459
CHL,1/04/2021,2,1085107
CHL,1/04/2021,4,9716003
CHL,2/04/2021,2,1085332
CHL,2/04/2021,4,9722811
CHL,3/04/2021,2,1085525
CHL,3/04/2021,4,9725844
CHL,4/04/2021,2,1085527
CHL,4/04/2021,4,9726961
CHL,5/04/2021,2,1116673
CHL,5/04/2021,4,9980608
CHL,6/04/2021,2,1199467
CHL,6/04/2021,4,10137603
CHL,7/04/2021,2,1288755
CHL,7/04/2021,4,10281611
CHL,8/04/2021,2,1367027
CHL,8/04/2021,4,10442876
CHL,9/04/2021,2,1416281
CHL,9/04/2021,4,10612578
CHL,10/04/2021,2,1424111
CHL,10/04/2021,4,10630776
CHL,11/04/2021,2,1424617
CHL,11/04/2021,4,10632723
CHL,12/04/2021,2,1489403
CHL,12/04/2021,4,10804918
CHL,13/04/2021,2,1577627
CHL,13/04/2021,4,10952011
CHL,14/04/2021,2,1667147
CHL,14/04/2021,4,11091973
CHL,15/04/2021,2,1735159
CHL,15/04/2021,4,11231129
CHL,16/04/2021,2,1785908
CHL,16/04/2021,4,11374568
CHL,17/04/2021,2,1791835
CHL,17/04/2021,4,11390923
CHL,18/04/2021,2,1792512
CHL,18/04/2021,4,11392884
CHL,19/04/2021,2,1816567
CHL,19/04/2021,4,11563766
CHL,20/04/2021,2,1861035
CHL,20/04/2021,4,11708605
CHL,21/04/2021,2,1907098
CHL,21/04/2021,4,11840112
CHL,22/04/2021,2,1954215
CHL,22/04/2021,4,11993701
CHL,23/04/2021,2,1983198
CHL,23/04/2021,4,12148336
CHL,24/04/2021,2,1985594
CHL,24/04/2021,4,12163621
CHL,25/04/2021,2,1985595
CHL,25/04/2021,4,12164661
CHL,26/04/2021,2,2030966
CHL,26/04/2021,4,12315967
CHL,27/04/2021,2,2094842
CHL,27/04/2021,4,12423602
CHL,28/04/2021,1,1569
CHL,28/04/2021,2,2151740
CHL,28/04/2021,4,12534275
CHL,29/04/2021,1,4653
CHL,29/04/2021,2,2187762
CHL,29/04/2021,4,12650550
CHL,30/04/2021,1,15981
CHL,30/04/2021,2,2221207
CHL,30/04/2021,4,12693632
CHL,1/05/2021,1,16170
CHL,1/05/2021,2,2222480
CHL,1/05/2021,4,12694469
CHL,2/05/2021,1,16283
CHL,2/05/2021,2,2222941
CHL,2/05/2021,4,12695360
CHL,3/05/2021,1,30556
